station;tBeg;tEnd;sample;dx0
1;7/13/2016 15:45;7/13/2016 16:25;1;777
1;7/13/2016 16:25;7/13/2016 17:05;2;777
1;7/13/2016 17:05;7/13/2016 17:45;3;777
1;7/13/2016 17:45;7/13/2016 18:25;4;777
1;7/13/2016 18:25;7/13/2016 19:05;5;777
1;7/13/2016 19:05;7/13/2016 19:45;6;777
1;7/13/2016 19:45;7/13/2016 20:25;7;777
1;7/13/2016 20:25;7/13/2016 21:05;8;777
2;7/14/2016 3:18;7/14/2016 4:18;1;1859
2;7/14/2016 4:18;7/14/2016 5:18;2;1859
2;7/14/2016 13:03;7/14/2016 14:03;7;1859
2;7/14/2016 15:07;7/14/2016 16:07;8;1859
2;7/14/2016 16:30;7/14/2016 17:30;9;1859
3;7/14/2016 18:00;7/14/2016 19:00;1;3544
3;7/14/2016 19:00;7/14/2016 20:00;2;3544
3;7/14/2016 20:00;7/14/2016 22:00;3;3544
3;7/14/2016 22:00;7/15/2016 0:00;4;3544
3;7/15/2016 0:00;7/15/2016 2:00;5;3544
3;7/15/2016 2:00;7/15/2016 4:00;6;3544
3;7/15/2016 4:00;7/15/2016 6:00;7;3544
3;7/15/2016 6:00;7/15/2016 8:00;8;3544
3;7/15/2016 8:00;7/15/2016 10:00;9;3544
3;7/15/2016 10:00;7/15/2016 12:00;10;3544
3;7/15/2016 12:00;7/15/2016 13:00;11;3544
3;7/15/2016 13:00;7/15/2016 14:00;12;3544
4;7/16/2016 12:05;7/16/2016 14:20;1;6357
4;7/16/2016 14:25;7/16/2016 16:30;2;6357
4;7/16/2016 16:30;7/16/2016 18:30;3;6357
4;7/16/2016 18:30;7/16/2016 20:30;4;6357
4;7/16/2016 20:30;7/16/2016 22:30;5;6357
4;7/16/2016 22:30;7/17/2016 0:30;6;6357
4;7/17/2016 0:30;7/17/2016 2:30;7;6357
4;7/17/2016 2:30;7/17/2016 4:30;8;6357
4;7/17/2016 4:30;7/17/2016 6:30;9;6357
2;7/14/2016 5:18;7/14/2016 6:18;3;1859
2;7/14/2016 6:18;7/14/2016 7:18;4;1859
2;7/14/2016 8:00;7/14/2016 9:00;5;1859
2;7/14/2016 10:00;7/14/2016 11:00;6;1859
