k;shiftedSample;left;right;interfSample;interfLeft;interfRight;tStart;shiftDirection
0.000794100143444511;1_1;2_5;2_6;0.00305651662528477;0.0401156773001221;2.87383907564984e-05;2016-07-13 16:05:00;downstream
0.00517956749924436;1_2;2_5;2_6;0.000298918527197706;0.0401156773001221;2.87383907564984e-05;2016-07-13 16:45:00;downstream
0.00501592602206561;1_3;2_6;2_7;0;2.87383907564984e-05;0;2016-07-13 17:25:00;downstream
0.00345387083536602;1_4;2_6;2_7;0;2.87383907564984e-05;0;2016-07-13 18:05:00;downstream
0.00137418903643477;1_5;2_6;2_7;0;2.87383907564984e-05;0;2016-07-13 18:45:00;downstream
-0.00133081085303728;1_6;2_6;2_7;0;2.87383907564984e-05;0;2016-07-13 19:25:00;downstream
-0.00451531951040117;1_7;2_6;2_7;0;2.87383907564984e-05;0;2016-07-13 20:05:00;downstream
-0.00526819529464016;1_8;2_7;2_8;0;0;0;2016-07-13 20:45:00;downstream
NA;2_1;NA;NA;NA;NA;NA;NA;upstream
NA;2_2;NA;NA;NA;NA;NA;NA;upstream
NA;2_3;NA;NA;NA;NA;NA;NA;upstream
NA;2_4;NA;NA;NA;NA;NA;NA;upstream
NA;2_5;NA;NA;NA;NA;NA;NA;upstream
0.00467494914107749;2_6;1_2;1_3;2.87383907564984e-05;0.000298918527197706;0;2016-07-13 17:10:12;upstream
-0.00473914943182941;2_7;1_7;1_8;0;0;0;2016-07-13 20:13:12;upstream
NA;2_8;NA;NA;NA;NA;NA;NA;upstream
NA;2_9;NA;NA;NA;NA;NA;NA;upstream
